"Season","Year","City","Sport","Discipline","Athlete","Country_code","Gender","Event","Medal","Country","url"
"summer","2012","London","Aquatics","Diving","BOUDIA, David","USA","Men","10M Platform","Gold","United States","https://upload.wikimedia.org/wikipedia/commons/8/84/David_Boudia_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_synchronized_10_metre_platform.jpg"
"summer","2012","London","Aquatics","Diving","QIU, Bo","CHN","Men","10M Platform","Silver","China","https://upload.wikimedia.org/wikipedia/commons/4/42/Tom_Daley_and_Qiu_Bo_presentation_at_the_British_International_School_Shanghai_Pudong%2C_2012.jpg"
"summer","2012","London","Aquatics","Diving","DALEY, Thomas","GBR","Men","10M Platform","Bronze","United Kingdom","https://upload.wikimedia.org/wikipedia/commons/d/d8/Tom_Daley_and_Alex_%287342006852%29.jpg"
"summer","2012","London","Aquatics","Diving","BROBEN, Brittany","AUS","Women","10M Platform","Silver","Australia","https://upload.wikimedia.org/wikipedia/commons/7/72/Brittany_Broben_being_interviewed_by_Fox_Sports_News_reporter_Adam_Curley_at_the_Welcome_Home_parade_in_Sydney.jpg"
"summer","2012","London","Aquatics","Diving","PAMG, Pandelela Rinong","MAS","Women","10M Platform","Bronze","Malaysia","https://upload.wikimedia.org/wikipedia/commons/d/d5/XIX_Commonwealth_Games-2010_Delhi_Winners_of_%28Women%60s%29_Swimming_10M_Platform_Diving%2C_Pamg_Pandelela_Rinong_of_Malaysia_%28Gold%29%2C_Melissa_Wu_of_Australia_%28Silver%29_and_Alexandra_Croak_of_Australia_%28Bronze%29_%28cropped%29.jpg"
"summer","2012","London","Aquatics","Diving","ZAKHAROV, Ilya","RUS","Men","3M Springboard","Gold","Russia","https://upload.wikimedia.org/wikipedia/commons/2/26/Ilya_Zakharov_%28diver%29.jpg"
"summer","2012","London","Aquatics","Diving","HE, Zi","CHN","Women","3M Springboard","Silver","China","https://upload.wikimedia.org/wikipedia/commons/4/4e/He_Zi_%282009%29.jpg"
"summer","2012","London","Aquatics","Diving","SANCHEZ SOTO, Laura","MEX","Women","3M Springboard","Bronze","Mexico","https://upload.wikimedia.org/wikipedia/commons/b/b7/Laura_S%C3%A1nchez_Soto.jpg"
"summer","2012","London","Aquatics","Diving","CAO, Yuan","CHN","Men","Synchronized 10M","Gold","China","https://upload.wikimedia.org/wikipedia/commons/4/4f/Cao_Cao%27s_conquest_of_northern_China_200%E2%80%93207.png"
"summer","2012","London","Aquatics","Diving","SANCHEZ, German","MEX","Men","Synchronized 10M","Silver","Mexico","https://upload.wikimedia.org/wikipedia/commons/7/71/Germ%C3%A1n_S%C3%A1nchez_Flor.jpg"
"summer","2012","London","Aquatics","Diving","BOUDIA, David","USA","Men","Synchronized 10M","Bronze","United States","https://upload.wikimedia.org/wikipedia/commons/8/84/David_Boudia_at_the_2016_Summer_Olympics_%E2%80%93_Men%27s_synchronized_10_metre_platform.jpg"
"summer","2012","London","Aquatics","Diving","MCCRORY, Nicholas","USA","Men","Synchronized 10M","Bronze","United States","https://upload.wikimedia.org/wikipedia/commons/e/ea/Illinois-_PEORIA_County%2C_Enumeration_District_86%2C_Sheet_No._5A_-_DPLA_-_ccbdf7d6dcc0bbdbac35d124cac5f629.jpg"
"summer","2012","London","Aquatics","Diving","BENFEITO, Meaghan","CAN","Women","Synchronized 10M","Bronze","Canada","https://upload.wikimedia.org/wikipedia/commons/b/b2/Meaghan_Benfeito_2020.jpg"
"summer","2012","London","Aquatics","Diving","FILION, Roseline","CAN","Women","Synchronized 10M","Bronze","Canada","https://upload.wikimedia.org/wikipedia/commons/2/2b/Ch%C3%A2teau_sainte-roseline.png"
"summer","2012","London","Aquatics","Diving","KUZNETSOV, Evgeny","RUS","Men","Synchronized 3M","Silver","Russia","https://upload.wikimedia.org/wikipedia/commons/3/3a/Evgeny_Kuznetsov_%28diver%29.jpg"
"summer","2012","London","Aquatics","Diving","ZAKHAROV, Ilya","RUS","Men","Synchronized 3M","Silver","Russia","https://upload.wikimedia.org/wikipedia/commons/2/26/Ilya_Zakharov_%28diver%29.jpg"
"summer","2012","London","Aquatics","Diving","HE, Zi","CHN","Women","Synchronized 3M","Gold","China","https://upload.wikimedia.org/wikipedia/commons/4/4e/He_Zi_%282009%29.jpg"
"summer","2012","London","Aquatics","Diving","JOHNSTON, Abigail","USA","Women","Synchronized 3M","Silver","United States","https://upload.wikimedia.org/wikipedia/commons/c/cd/Joel-_a_boy_of_Galilee_%281918%29_%2814752870312%29.jpg"
"summer","2012","London","Aquatics","Diving","ABEL, Jennifer","CAN","Women","Synchronized 3M","Bronze","Canada","https://upload.wikimedia.org/wikipedia/commons/2/2a/Jennifer_Abel_2010b.jpg"
